HoleID,HoleType,Year,Property,Prospect,Grid,Easting,Northing,Elevation,NewsRelease,Length_m,Dip,Azimuth
MPRC19-010,RC,2019,MAC,Exploration,NAD83 / UTM zone 9N,430832,7005736,1323.044,Historical,21.34,-90,1.03
MPRC19-011,RC,2019,MAC,Exploration,NAD83 / UTM zone 9N,430903,7005703,1322.732,Historical,21.34,-90,1.03
MPRC19-012,RC,2019,MAC,Exploration,NAD83 / UTM zone 9N,435844,7001033,1186.486,Historical,16.76,-90,1.03
MPRC19-013,RC,2019,MAC,Exploration,NAD83 / UTM zone 9N,435816,7000818,1182.985,Historical,22.86,-90,1.03
MPRC19-014,RC,2019,MAC,Exploration,NAD83 / UTM zone 9N,435951,7000922,1170.693,Historical,18.29,-90,1.03
N81-1,DDH,1981,JASON,End Zone,NAD83 / UTM zone 9N,432641.87,7005248.13,1387.221,Historical,250.2,-65,226.19
N81-2,DDH,1981,JASON,End Zone,NAD83 / UTM zone 9N,432561.25,7005164.3,1365.67,Historical,126.49,-60,226.2
N81-3,DDH,1981,JASON,End Zone,NAD83 / UTM zone 9N,432720.65,7005190.49,1377.586,Historical,177.7,-60,226.19
N81-4,DDH,1981,JASON,End Zone,NAD83 / UTM zone 9N,432847.49,7005335.19,1417.548,Historical,309.68,-60,226.19
NB19-001,DDH,2019,NIDD,Boundary,NAD83 / UTM zone 9N,422370.38,7010438.82,1170.538,2019-10-16,308.8,-50,215
NB19-002,DDH,2019,NIDD,Boundary,NAD83 / UTM zone 9N,422371.22,7010439.77,1170.864,2019-11-05,357,-65,216.38
NB20-001,DDH,2020,NIDD,Boundary,NAD83 / UTM zone 9N,422437.85,7010415.034,1162.477,2021-01-26,303.5,-54,270
NB20-002,DDH,2020,NIDD,Boundary,NAD83 / UTM zone 9N,422334.76,7010336.595,1133.862,2021-01-26,320,-50,20.33
NB20-003,DDH,2020,NIDD,Boundary West,NAD83 / UTM zone 9N,421557,7010456,1200,2021-02-25,152,-50,186.36
NB20-004,DDH,2020,NIDD,Boundary West,NAD83 / UTM zone 9N,422051.985,7010613.421,1217.298,2021-02-03,333,-48.9,214.33
NB20-005,DDH,2020,NIDD,Boundary West,NAD83 / UTM zone 9N,422268.594,7010304.113,1126.247,2021-02-25,143,-50,215.33
NB20-006,DDH,2020,NIDD,Boundary,NAD83 / UTM zone 9N,422269.304,7010305.188,1126.097,2021-02-25,205,-80,215.33
